resort,length_of_cross_country_trails_km,total_area_hectares,altitude_m,runs,lifts,terrain parks,longest_run_m,beginner_terrain_%,intermediate_terrain_%,advanced_terrain_%,Ski_Lessons,Snowboarding,Tobogganing,Cross_Country_Skiing,Snowshoeing,Childcare,Ski_In_Ski_Out,num_food_vendors,Accommodation_Types_Num,Dingo walks,Freestyle programs,Night skiing,Race programs,Ski touring,Snow tubing,husky sledding
Mt. Baw Baw,10,35,1567,13,6,3,750,25,64,11,1,1,1,0,0,0,0,4,6,1,0,0,0,0,0,0
Mt. Stirling,68,3000,1747,0,0,0,0,20,60,20,1,1,1,1,1,0,0,1,2,0,0,0,0,1,0,0
Mt. Hotham,35,320,1861,80,13,2,2500,20,40,40,1,1,1,1,1,1,1,18,5,0,0,1,0,0,0,1
Falls Creek,65,450,1600,90,15,3,3000,17,60,23,1,1,1,1,1,1,1,18,5,0,0,0,0,0,0,0
Mt. Buller,9,300,1805,80,20,5,2500,20,45,35,1,1,1,1,1,1,1,41,6,0,0,0,1,0,0,0
Selwyn,45,35,1411,15,10,2,800,40,47,13,1,1,1,1,1,0,0,1,3,0,0,0,0,0,1,0
Thredbo,58,480,1365,53,16,5,5900,30,34,36,1,1,1,1,1,1,1,31,5,0,1,0,0,0,0,0
Perisher,58,3000,2054,100,44,4,3000,22,60,18,1,1,1,1,1,1,1,24,5,0,1,0,0,0,0,0
Charlotte Pass,50,50,1755,25,5,2,2000,32,28,40,1,1,1,1,1,1,1,6,3,0,0,0,0,0,0,0
