resort,ski_week,predicted_visitors,rating,cross_country_trail_length,ski_area,altitude,num_runs,num_lifts,num_terrain_parks,longest_run,beginner_terrain_%,intermediate_terrain_%,advanced_terrain_%,ski_lessons_available,snowboarding_available,tobogganing_available,cross_country_skiing_available,snowshoeing_available,childcare_available,ski_in_ski_out_available,num_food_vendors,num_accommodation_types,dingo_walks_available,freestyle_programs_available,night_skiing_available,race_programs_available,ski_touring_available,snow_tubing_available,husky_sledding_available,max_temp,min_temp,rainfall_amount,distance_from_melbourne,distance_from_canberra,distance_from_sydney,distance_from_bendigo,average_snowfall,num_snowfall_days,average_mountain_base_snow_depth,max_mountain_base_snow_depth,biggest_snowfall
Charlotte Pass,1,0.12056986045425352,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5135665911158251,0.3976498041595591,0.7555066079295153,1.0,0.0390625,0.0,1.0,0.5862068965517241,0.5,0.14,0.2702702702702703,0.6666666666666666
Charlotte Pass,2,0.04754675852941749,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3533522981879051,0.20933411114414552,0.4122331413080311,1.0,0.0390625,0.0,1.0,0.5862068965517241,0.5,0.14,0.2702702702702703,0.6666666666666666
Charlotte Pass,3,0.14020746968723846,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200675802790402,0.15392949405301673,0.4569637411047102,1.0,0.0390625,0.0,1.0,0.5862068965517241,0.5,0.14,0.2702702702702703,0.6666666666666666
Charlotte Pass,4,0.2629181993343843,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3167463286004983,0.11762646891111522,0.2705862419518807,1.0,0.0390625,0.0,1.0,0.5862068965517241,0.5,0.14,0.2702702702702703,0.6666666666666666
Charlotte Pass,5,0.30992000934197467,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1974700726667786,0.11802650215521679,0.494747543205693,1.0,0.0390625,0.0,1.0,0.9655172413793104,0.75,0.52,0.6216216216216216,0.7333333333333333
Charlotte Pass,6,0.25073470738210624,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18021400416305036,0.040720059944111445,0.393934259573026,1.0,0.0390625,0.0,1.0,0.9655172413793104,0.75,0.52,0.6216216216216216,0.7333333333333333
Charlotte Pass,7,0.13061248321363927,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962412095416749,0.17803150263160308,0.7478820738732633,1.0,0.0390625,0.0,1.0,0.9655172413793104,0.75,0.52,0.6216216216216216,0.7333333333333333
Charlotte Pass,8,0.02835678558221911,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32389423982170784,0.17163096918585008,0.5269400203320909,1.0,0.0390625,0.0,1.0,0.9655172413793104,0.75,0.52,0.6216216216216216,0.7333333333333333
Charlotte Pass,9,0.0,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2943639803320642,0.09742478546360234,0.704337512707557,1.0,0.0390625,0.0,1.0,0.896551724137931,0.75,0.9,0.9054054054054054,1.0
Charlotte Pass,10,0.04470524123703314,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352702488076886,0.23403616974289698,0.5135547272111148,1.0,0.0390625,0.0,1.0,0.896551724137931,0.75,0.9,0.9054054054054054,1.0
Charlotte Pass,11,0.11229832039080594,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3419950614697609,0.23884657057360725,0.5077261945103356,1.0,0.0390625,0.0,1.0,0.896551724137931,0.75,0.9,0.9054054054054054,1.0
Charlotte Pass,12,0.14435297094256633,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42641983511582543,0.15732977755195685,0.41248729244323956,1.0,0.0390625,0.0,1.0,0.896551724137931,0.75,0.9,0.9054054054054054,1.0
Charlotte Pass,13,0.1187598528638991,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6048793519386916,0.3595266271563455,0.4840562521179261,1.0,0.0390625,0.0,1.0,0.41379310344827586,0.375,1.0,1.0,0.7333333333333333
Charlotte Pass,14,0.06634748253245364,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998671499449881,0.5074889573937429,0.27158590308370045,1.0,0.0390625,0.0,1.0,0.41379310344827586,0.375,1.0,1.0,0.7333333333333333
Charlotte Pass,15,0.04855880578423931,0.45454545454545453,0.7321428571428571,0.00505902192242833,0.5660377358490566,0.13793103448275862,0.0,0.0,0.24271844660194175,0.6521739130434783,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399835381584098,0.5113392782537939,0.5634530667570316,1.0,0.0390625,0.0,1.0,,,,,
Falls Creek,1,0.47653801989062106,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46367561481425107,0.5838653221043947,0.6191121653676721,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.4827586206896552,0.5,0.14,0.28378378378378377,0.5333333333333333
Falls Creek,2,0.40351491796578504,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294580583702404,0.4547545629231515,0.5686208065062691,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.4827586206896552,0.5,0.14,0.28378378378378377,0.5333333333333333
Falls Creek,3,0.496175629123606,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273642257902901,0.3643470289644704,0.3327685530328702,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.4827586206896552,0.5,0.14,0.28378378378378377,0.5333333333333333
Falls Creek,4,0.6188863587707518,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23306522652593345,0.311542628576053,0.3114198576753643,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.4827586206896552,0.5,0.14,0.28378378378378377,0.5333333333333333
Falls Creek,5,0.6658881687783422,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14368023569909016,0.3514126177609391,0.3859708573364961,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.7586206896551724,0.75,0.44,0.581081081081081,0.5
Falls Creek,6,0.6067028668184737,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12874904337034127,0.1771314276013553,0.2724500169434091,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.7586206896551724,0.75,0.44,0.581081081081081,0.5
Falls Creek,7,0.4866001050972149,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2346247707923792,0.37074756225621064,0.3073534395120298,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.7586206896551724,0.75,0.44,0.581081081081081,0.5
Falls Creek,8,0.38432494501858666,1.0,1.0,0.1399662731871838,0.34107402031930334,0.8850574712643678,0.2564102564102564,0.3333333333333333,0.4368932038834951,0.0,0.8888888888888888,0.41379310344827586,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.425,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26821273341971963,0.376598049798808,0.23652998983395462,0.6012658227848101,0.7057291666666666,0.4808743169398907,0.47635135135135137,0.7586206896551724,0.75,0.44,0.581081081081081,0.5
